symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BTC/USD,2024-04-24 05:00:00+00:00,67066.505,67094.8,63561.6,64282.824,1.800103727,110.0,65275.0891243266
BTC/USD,2024-04-25 05:00:00+00:00,64293.045,65287.935,62788.8781637715,64252.185,0.759376499,128.0,64127.0562591096
BTC/USD,2024-04-26 05:00:00+00:00,64173.005,64772.95,62398.77,62970.3375,1.355924866,114.0,63884.2329963149
BTC/USD,2024-04-27 05:00:00+00:00,63036.1265,64336.04,62638.95,63841.414,1.497350598,88.0,63093.3764652142
BTC/USD,2024-04-28 05:00:00+00:00,63799.4,64005.8825,62218.185,62555.5835,0.806877798,66.0,63466.1123456798
BTC/USD,2024-04-29 05:00:00+00:00,62501.256,64688.8345,61775.035,63414.515,2.529691844,177.0,62584.585394634
BTC/USD,2024-04-30 05:00:00+00:00,63408.9385,63480.72,59099.5735,60188.84,4.922064534,269.0,60412.2707461695
BTC/USD,2024-05-01 05:00:00+00:00,60229.6,60257.23,56498.44,57287.7825,30.054000315,317.0,56858.3431878834
BTC/USD,2024-05-02 05:00:00+00:00,57362.32,59976.38,57177.5495,59577.1,2.356814388,174.0,58856.3797633314
BTC/USD,2024-05-03 05:00:00+00:00,59556.209,63630.6,58866.876,63121.2635,2.383146047,191.0,61673.0419783772
BTC/USD,2024-05-04 05:00:00+00:00,63107.5095,64545.425,62928.1455,63405.45,1.532918115,89.0,63693.6740699096
BTC/USD,2024-05-05 05:00:00+00:00,63389.676,64643.333,63164.3,64154.905,0.45962532,51.0,64238.2002442187
BTC/USD,2024-05-06 05:00:00+00:00,64137.0,65472.5669395465,62720.125,63425.775,2.077109157,256.0,64435.1036163425
BTC/USD,2024-05-07 05:00:00+00:00,63422.59,64391.842,62134.45,62539.394,0.656296415,99.0,63067.5035314442
BTC/USD,2024-05-08 05:00:00+00:00,62489.955,62799.687,60874.13,61496.809,1.184104693,94.0,61922.7936761305
BTC/USD,2024-05-09 05:00:00+00:00,61514.775,63388.662,60611.185,62904.65,3.837655265,171.0,62423.8813683144
BTC/USD,2024-05-10 05:00:00+00:00,62918.75,63456.003,60189.175,60831.343,2.459047926,112.0,61267.8913328874
BTC/USD,2024-05-11 05:00:00+00:00,60791.89,61487.515,60461.85,61083.43,0.349830444,37.0,61017.7718489702
BTC/USD,2024-05-12 05:00:00+00:00,61071.43,61836.4775,60624.935,60966.205,0.684475783,57.0,61230.6415639195
BTC/USD,2024-05-13 05:00:00+00:00,60922.99,63434.593,60789.111,62494.0375,1.481975566,115.0,62812.5203977598
BTC/USD,2024-05-14 05:00:00+00:00,62463.9,62719.25,61115.0715,61906.834,0.469950382,52.0,61672.0623463778
BTC/USD,2024-05-15 05:00:00+00:00,61888.06,66690.931,61812.416,65853.36,4.088063214,163.0,64729.80383264
BTC/USD,2024-05-16 05:00:00+00:00,65840.2835,66747.891,64613.665,65428.685,2.359466405,97.0,65694.5498250346
BTC/USD,2024-05-17 05:00:00+00:00,65461.0895,67480.5586146095,65445.95,66904.69,1.510927037,86.0,66894.8098036241
BTC/USD,2024-05-18 05:00:00+00:00,66869.6935,67401.572,66629.15,67136.6925,0.111451119,27.0,67039.9468576555
BTC/USD,2024-05-19 05:00:00+00:00,67124.0,67716.18,65894.498,67134.695,19.947725674,74.0,67072.5428413655
BTC/USD,2024-05-20 05:00:00+00:00,67166.445,71975.245,66300.91,70873.0435,2.566128828,295.0,68980.5129859144
BTC/USD,2024-05-21 05:00:00+00:00,70885.12,71444.145,69156.8,69620.6535,7.354525939,147.0,70623.7968205657
BTC/USD,2024-05-22 05:00:00+00:00,69604.536,70655.75,68947.515,69504.8315,2.613399319,74.0,69703.0571888982
BTC/USD,2024-05-23 05:00:00+00:00,69495.896,70056.474,66295.547,67676.0965,3.091300496,115.0,68303.9104493344
BTC/USD,2024-05-24 05:00:00+00:00,67609.9,69241.25,66631.89,68785.6,0.352649818,101.0,67955.3191553781
BTC/USD,2024-05-25 05:00:00+00:00,68730.108,69525.29918136,68593.2025,68961.6525,0.109101218,41.0,69032.0735911508
BTC/USD,2024-05-26 05:00:00+00:00,68920.8,69479.35,68150.46,68748.025,0.253474851,57.0,68894.0921289477
BTC/USD,2024-05-27 05:00:00+00:00,68745.553,70607.106460957,67459.2,67725.646,4.270222452,96.0,69837.4006729725
BTC/USD,2024-05-28 05:00:00+00:00,67722.1,68839.511,67206.925,68758.6,3.587922426,129.0,68404.2853911348
BTC/USD,2024-05-29 05:00:00+00:00,68761.0045,68795.409,67097.5755,68132.7,0.791489371,72.0,67607.3119970049
BTC/USD,2024-05-30 05:00:00+00:00,68128.25,69508.005,67110.2,68501.565,3.777051385,97.0,68625.026532595
BTC/USD,2024-05-31 05:00:00+00:00,68476.4185,68989.3,66606.66,67660.0105,1.830738791,112.0,67327.5660591775
BTC/USD,2024-06-01 05:00:00+00:00,67647.5,67860.305,67526.5855,67805.421,0.521611478,46.0,67691.3150533991
BTC/USD,2024-06-02 05:00:00+00:00,67770.385,68748.0925,67301.4,68511.005,0.509500399,42.0,67998.1686842035
BTC/USD,2024-06-03 05:00:00+00:00,68509.751,70275.1765,68463.715,69060.275,2.824953784,321.0,69397.5685078567
BTC/USD,2024-06-04 05:00:00+00:00,69023.8755,71257.41,68564.1635,71226.091,6.400314237,107.0,69843.4757034348
BTC/USD,2024-06-05 05:00:00+00:00,71146.95,71736.9676322415,70370.321,71095.555,1.957128134,105.0,71090.9299327593
BTC/USD,2024-06-06 05:00:00+00:00,71059.9955,71622.498,70115.9425,71202.73,1.82375264,76.0,71242.6554278026
BTC/USD,2024-06-07 05:00:00+00:00,71268.87,71930.21,68376.098,69316.379,1.152859656,83.0,70516.5034218671
BTC/USD,2024-06-08 05:00:00+00:00,69278.7,69574.1,69141.955,69326.73,0.559594684,95.0,69290.3828823506
BTC/USD,2024-06-09 05:00:00+00:00,69319.25,69866.8,69233.434,69672.415,0.667307171,112.0,69705.449253231
BTC/USD,2024-06-10 05:00:00+00:00,69668.018,70166.791,67649.003,68016.335,1.094937214,181.0,68908.7867045852
BTC/USD,2024-06-11 05:00:00+00:00,68013.95,68888.494415999,66162.25,67481.9,6.165183942,202.0,66929.8133108236
BTC/USD,2024-06-12 05:00:00+00:00,67419.1745,69999.575,66975.072409429,67367.8985,5.880841317,116.0,68613.2692079459
BTC/USD,2024-06-13 05:00:00+00:00,67373.245,68393.91,66259.119,66740.613,3.249965795,107.0,67158.4638630816
BTC/USD,2024-06-14 05:00:00+00:00,66690.307,67335.2,65057.6987875,66226.6305,1.753338676,108.0,65681.6058099251
BTC/USD,2024-06-15 05:00:00+00:00,66218.59,66432.965,65853.125,66132.9425,3.169309497,58.0,66303.7792878182
BTC/USD,2024-06-16 05:00:00+00:00,66153.45,66924.35,66137.3545,66402.6,0.219420197,36.0,66650.6976628307
BTC/USD,2024-06-17 05:00:00+00:00,66397.885,67243.625,64600.469,65600.3815,0.65930492,116.0,65965.4185122273
BTC/USD,2024-06-18 05:00:00+00:00,65616.096,65829.41,64045.5445,65475.117,14.450362099,1414.0,64704.7968590163
BTC/USD,2024-06-19 05:00:00+00:00,65469.908,65664.53,64655.355,65276.4565,0.597951034,274.0,65309.3489024481
BTC/USD,2024-06-20 05:00:00+00:00,65293.2355,66464.0475,64306.2255,64601.145,0.569824963,97.0,65315.3416580255
BTC/USD,2024-06-21 05:00:00+00:00,64615.07,64691.955,63364.022,64315.43,1.700835787,106.0,64138.6159108807
BTC/USD,2024-06-22 05:00:00+00:00,64308.825,64512.5215,64201.312,64362.065,0.131238571,18.0,64386.0010354761
BTC/USD,2024-06-23 05:00:00+00:00,64366.077,64426.5,62633.8,62848.45,0.156748928,54.0,63631.154393067
BTC/USD,2024-06-24 05:00:00+00:00,62781.028,62922.8,58457.4185,61330.76,27.269507053,327.0,60106.2488695147
BTC/USD,2024-06-25 05:00:00+00:00,61322.8515,62443.318613263,60617.2335,61696.65,21.543827405,144.0,61937.4040668694
BTC/USD,2024-06-26 05:00:00+00:00,61699.7985,61962.15,60680.94,61068.215,1.242180103,93.0,61239.6209794691
BTC/USD,2024-06-27 05:00:00+00:00,61075.831,62340.685,60587.663,61677.73,0.710816425,84.0,61598.4781352277
BTC/USD,2024-06-28 05:00:00+00:00,61647.585,61776.95,59920.0065,60689.625,1.567172109,91.0,61060.8113648749
BTC/USD,2024-06-29 05:00:00+00:00,60701.765,61125.0845,60630.6245,60683.55,0.106836201,35.0,60930.4253278002
BTC/USD,2024-06-30 05:00:00+00:00,60682.002,63740.0275,60622.1015,63178.732,0.366607636,51.0,62250.3845595302
BTC/USD,2024-07-01 05:00:00+00:00,63239.2165,63800.91,62465.75,63008.003,2.412273334,107.0,63093.6789969285
BTC/USD,2024-07-02 05:00:00+00:00,62970.1,63055.1,60587.945,60784.5915,1.287656865,98.0,61708.5769249073
BTC/USD,2024-07-03 05:00:00+00:00,60780.62,61091.3,57881.449,58946.854,2.693326148,233.0,59627.6716306242
BTC/USD,2024-07-04 05:00:00+00:00,58950.878,59035.45,53533.05,53899.8305,4.698869739,272.0,56806.8153858409
BTC/USD,2024-07-05 05:00:00+00:00,53875.3225,57031.4135,53809.37,56106.38,22.647476205,267.0,54093.4433016979
BTC/USD,2024-07-06 05:00:00+00:00,56056.7705,58470.9255,56056.7705,57644.79,1.457207672,104.0,57072.4874686971
BTC/USD,2024-07-07 05:00:00+00:00,57641.6625,57916.2445,54299.967,55505.8285,2.295876911,90.0,56020.1933365752
BTC/USD,2024-07-08 05:00:00+00:00,55454.2,58178.91,54944.1635,57332.46,2.323120024,186.0,56522.8609039331
BTC/USD,2024-07-09 05:00:00+00:00,57272.65,59410.0,56947.909,59325.735,19.601861578,230.0,59103.9590192637
